title;category;description;image_url;price;season;date;duration;tags;address
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
NYC Marathon;sport;New York City Marathon;photos/exp01.jpg;300;autumn;2015-11-01;one day;marathon, new york city, running;fort wadsworth, ny
Tudor's route;cultural;Tudor's route;photos/exp02.jpg;100;year-round;;one day;tudor, henry viii, london;hampton court palace, uk
Shopping London;leisure;Shopping in London;photos/exp03.jpg;3000;year-round;;one day;shopping, london, harrods, bond street;bond street london
Victorian route;cultural;Victorian houses;photos/exp04.jpg;100;year-round;;two days;queen victoria, downtown abbey, victorian;westminster palace, uk
Parisien gardens;leisure;Gardens in Paris;photos/exp05.jpg;10;spring;;one day;monet, gardens, spring, flowers;lycee general claude monet, paris
Volcanic pedals;sport;Bike route around Lanzarote;photos/exp06.jpg;300;spring;;five days;mtb, lanzarote, volcanoes;puerto del carmen, lanzarote
Scotland on budget;adventure;Edinburgh and highlands on a budget;photos/exp07.jpg;650;summer;;six days;scotland, highlands, edinburgh;royal mile, edinburgh
Geisha's life;cultural;Kyoto surroundings;photos/exp08.jpg;200;spring;;two days;fushimi inari, kyoto, pontocho;pontocho, kyoto
Fletcher's legacy;adventure;Pitcairn and south pacific islands;photos/exp09.jpg;2000;year-round;;three weeks;fletcher captain, bounty, mutiny, pitcairn;pitcairn
Me, my bike and the atlantic;sport;Motorbiking in the Azores roads;photos/exp10.jpg;1000;summer;;one week;moto, atlantic, island, azores, solitude;azores, portugal
The real Tattoine;adventure;An adventure travel to the tunisian desert;photos/exp11.jpg;500;winter;;four days;tunisian, tattoine, star wars, skywalker;tataouine, tunisia
Man TT;sport;Isle of Man Tourist Trophy;photos/exp12.jpg;400;spring;2015-05-30;two weeks;motorbikes, isle of man, tourist trophy;douglas, isle of man
This is for real;leisure;Poker tournaments;photos/exp13.jpg;2000;year-round;;two days;las vegas, texas hold'em, casino, poker;aria hotel, las vegas
Under the Red Sea;sport;Diving the Red sea;photos/exp14.jpg;1500;winter;;five days;red sea, diving, coral, egypt;marsa alam, egypt
Milford track;sport;From Te Anau to Milford Sound;photos/exp15.jpg;300;winter;;four days;new zealand, hiking, trekking, milford;te anau, new zealand
Sufers Paradise;sport;Surf in Gold Coast;photos/exp16.jpg;300;autumn;;three days;surf, gold coast, nobby beach;sufers paradise, australia
Puffins observer;adventure;Atlantic puffin observation;photos/exp17.jpg;300;spring;;two days;puffin, birds, faroe;faroe islands 
The hanami;leisure;Picnic in Shinjuku Gyoen;photos/exp18.jpg;20;spring;;one day;hanami, sakura, cherry blossom, picnic;shinjuku gyoen, tokyo
Hiking Mauritius;sport;Mauritius trails and paths;photos/exp19.jpg;800;winter;;five days;hiking, trails, mauritius;le pouce,mauritius
The last baobab;cultural;Madagascar wildlife;photos/exp20.jpg;300;winter;;three days;baobab trees, diving, wildlife;morondava, madagascar
Bungee jumping at Victoria Falls;adventure;Victoria falls bungee;photos/exp21.jpg;300;year-round;;one day;bungee, jumping, zimbabwe;victoria falls, zimbabwe
Flying the red desert;adventure;Hot air ballons flight over the Namib;photos/exp22.jpg;300;autumn;;two days;namib, red desert, hot air ballons;namib desert, namibia
